melodic_variance,repeteadness_mean,repeteadness_variance,pitch_in_piece,weighted_abruptness,pitch_in_rules,branchiness_mean,branchiness_variance,melodic_mean,unweighted_abruptness,labels
0.16,3.13125,0.802083333,16,1,1.133333333,3.066666667,1.528888889,1.2,7,Classical
0.377426769,8,5.35385445,29,7,4.272727273,4.265734266,5.355958727,1.986013986,3,Classical
0.207121722,14,18.80998656,33,3,3.353535354,3.939393939,3.834710744,1.707070707,5,Classical
0.37109375,3,0.472222222,12,2,1,2.75,1.8125,1.4375,2,Classical
0.109375,1,0,9,2,0.125,3,2,1.125,1,Classical
0.4276,6,2.926440233,19,4,2.54,3.48,2.7696,1.82,5,Classical
0.3977791,11.8,11.698585,25,2,4.284552846,4.195121951,5.539163197,1.975609756,2,Classical
0.249702735,7,4.143235127,17,1,1.275862069,3.310344828,2.007134364,1.482758621,1,Classical
0.505235019,7,4.464635922,32,10,3.76119403,4.169154229,4.548501275,2.179104478,4,Classical
0,0,nan,5,1,0,3,0,1,1,Classical
0.184440662,7,4.18464115,74,1,12.72755741,4.912317328,13.59982741,2.049060543,10,Classical
0.241735537,6,2.885014793,15,1,0.909090909,3.363636364,3.32231405,1.409090909,2,Classical
0.226326531,4,1.164614606,24,4,3.528571429,4.228571429,4.319183673,1.728571429,2,Classical
0.756563747,10,8.297776453,24,4,5.579710145,4.15942029,5.945599664,2.376811594,10,Classical
0.387338609,6,3.203862403,46,12,5.493877551,4.212244898,4.624339858,1.979591837,4,Classical
0.24609375,4,1.360946746,12,3,1.125,3.875,3.359375,1.4375,2,Classical
0.148760331,2.48,0.418765432,14,4,0.363636364,3.818181818,2.512396694,1.181818182,2,Classical
0.390532544,5,2.159763314,9,2,0.615384615,3.076923077,1.917159763,1.384615385,2,Classical
0.109375,3.5,0.991735537,10,5,0.625,3,1,1.125,5,Classical
0.359861592,8,4.903373594,15,5,1.470588235,2.823529412,2.380622837,1.411764706,2,Classical
0.366863905,2.5,0.424354866,12,1,0.384615385,2.769230769,1.100591716,1.307692308,1,Classical
0.3251,7,3.913133888,28,7,3.84,4.32,5.0376,1.93,4,Classical
0.3524,4.48,1.523853287,22,7,2.98,3.96,4.4384,1.74,10,Classical
0.543444329,18.8,32.59245637,26,2,3.620967742,4.064516129,4.544224766,2.14516129,3,Classical
0.354570637,5,1.878571429,13,9,1.684210526,3.368421053,2.337950139,1.473684211,9,Classical
0.349030471,6,2.742382271,12,1,1.631578947,3.473684211,1.301939058,1.578947368,1,Classical
