melodic_variance	repeteadness_mean	repeteadness_variance	pitch_in_piece	weighted_abruptness	pitch_in_rules	branchiness_mean	pitch_between_rules	branchiness_variance	melodic_mean	unweighted_abruptness
0.0	3.0	0.66666666666666663	5	4	0.0	2.0	[4, 4, 3, 5]	0.0	1.0	4
0.25708884688090727	5.7999999999999998	2.4159097016930935	43	12	0.43478260869565216	2.347826086956522	[10, 2, 1, 2, 12, 1, 2, 2, 7, 7, 1, 2, 12, 5, 3, 2, 1, 2]	1.1833648393194707	1.2173913043478262	2
3.6652949245541828	5.0	2.2478609914471654	15	9	6.4074074074074074	2.5185185185185186	[13, 4, 4, 9, 10, 4, 15, 3, 10, 1, 9, 13, 4, 9, 13, 13, 13, 13, 13, 13, 13, 2, 15, 13]	1.7311385459533601	2.9629629629629628	9
0.44834710743801653	4.6499999999999986	1.6393922405478214	15	10	4.5	3.3636363636363638	[6, 9, 2, 4, 11, 13, 9, 13, 9, 5, 6, 9, 10, 7, 11, 9, 4, 2]	2.4132231404958682	1.7727272727272727	10
0.83840000000000003	7.0	3.9391115450243812	14	9	2.3199999999999998	2.7200000000000002	[2, 1, 5, 2, 2, 3, 4, 5, 9, 1, 9, 2, 7, 1, 5, 3, 9, 2, 3, 14, 1, 9, 3, 3]	1.1616	1.96	9
0.0	1.7999999999999998	0.16000000000000006	11	4	0.0	2.0	[2, 4, 7, 9]	1.2	1.0	4
0.089999999999999997	4.0	1.2903225806451613	24	2	0.25	2.6000000000000001	[2, 2, 1, 2, 1, 4, 2, 2, 1, 1, 3, 2, 4, 2]	1.3400000000000001	1.1000000000000001	2
0.28719008264462814	7.0	4.5123155588020456	35	3	1.3863636363636365	3.2727272727272729	[1, 2, 2, 12, 10, 28, 2, 6, 7, 4, 5, 4, 4, 1, 8, 3, 4, 6, 2, 8, 2, 3, 5, 1, 1, 2, 1, 4, 4, 9, 3, 17, 9, 3]	2.5619834710743801	1.4090909090909092	3
0.65051903114186849	10.549999999999997	9.7726446280991723	9	1	1.4705882352941178	2.8235294117647061	[2, 2, 3, 1, 2, 1, 4, 4, 1, 3, 4, 8, 3, 3, 3, 1, 4]	0.73356401384083059	1.7647058823529411	1
0.0	1.8499999999999996	0.1875	11	11	0.0	1.3333333333333333	[6, 11, 6]	0.22222222222222221	1.0	11
0.76923076923076927	9.0	6.8265763266423027	12	3	2.3846153846153846	3.5384615384615383	[2, 5, 4, 5, 5, 1, 3, 2, 5, 3, 2, 8, 4, 9, 2, 7, 7, 2, 5, 8, 5, 3, 1, 8, 4, 2, 4]	1.4792899408284026	2.0	2
0.1875	2.5999999999999996	0.46913580246913583	8	3	0.625	2.25	[1, 4, 4, 3, 2, 3]	1.1875	1.25	3
0.0	0.99807692307689999	0.00036982248521597548	11	4	0.0	0.66666666666666663	[4, 4]	0.22222222222222224	1.0	4
0.27259483713070337	6.0	2.6957143943205368	38	12	10.885496183206106	4.1832061068702293	[15, 9, 24, 29, 7, 25, 24, 31, 11, 31, 2, 5, 28, 28, 24, 7, 8, 28, 29, 4, 27, 19, 24, 3, 26, 12, 33, 31, 31, 12, 5, 14, 3, 2, 5, 22, 5, 29, 2, 3, 15, 1, 1, 31, 4, 5, 7, 25, 1, 11, 4, 22, 4, 31, 12, 14, 17, 16, 8, 16, 4, 2, 7, 14, 5, 7, 16, 19, 26, 23, 28, 11, 5, 5, 21, 26, 26, 26, 29, 29, 5, 26, 14, 33, 29, 12, 26, 3, 9, 1, 3, 21, 5, 10, 9, 25, 19, 9, 7, 7, 19, 8, 12, 31, 9, 24, 5, 5, 7, 14, 24, 4, 28, 7, 19, 24, 9, 17, 28, 26, 21, 7]	4.2717790338558368	1.9007633587786259	5
0.19834710743801651	3.0	0.80991735537190113	19	2	1.0	3.0909090909090908	[11, 4, 11, 9, 1, 11, 3, 3, 7]	2.4462809917355375	1.2727272727272727	4
0.23346938775510204	10.0	7.7498097502972652	41	12	4.0571428571428569	2.9142857142857141	[27, 14, 12, 24, 24, 7, 25, 7, 2, 24, 2, 3, 24, 24, 3, 3, 5, 21, 18, 27, 26, 5, 2, 24, 2, 9, 12, 24, 9, 2, 3, 10, 5, 24]	1.5069387755102039	1.3714285714285714	12
0.72888888888888881	9.0	7.4150094060736356	22	5	3.1333333333333333	2.6666666666666665	[7, 3, 7, 12, 5, 12, 12, 8, 9, 4, 16, 2, 14, 2]	0.62222222222222212	1.7333333333333334	15
