melodic_variance,repeteadness_mean,repeteadness_variance,pitch_in_piece,weighted_abruptness,pitch_in_rules,branchiness_mean,pitch_between_rules,branchiness_variance,melodic_mean,unweighted_abruptness,label
0.360726644,9.818181818,7.790568002,15,1,2.764705882,3.352941176,"[1, 3, 4, 5, 5, 2, 4, 10, 5, 2, 5, 7, 7, 1, 1, 4, 7, 5, 5, 3, 3, 7, 1, 3, 2, 1, 4, 5, 5, 7, 5, 4, 4, 2, 12, 5, 12, 3, 8, 2]",1.875432526,1.852941176,2,Rock
0,3.55,1,8,8,0,2,"[2, 8, 1, 2]",0,1,8,Rock
0.638117284,9,5.982530164,20,7,3.444444444,3.611111111,"[2, 5, 12, 7, 7, 8, 8, 7, 2, 4, 3, 5, 5, 3, 5, 9, 10, 5, 5, 3, 7, 5, 9, 4, 7, 7, 10, 3, 10, 3]",2.515432099,1.972222222,2,Rock
0.079395085,4,0.963055556,39,3,0.47826087,2.869565217,"[2, 2, 2, 3, 2, 7, 2, 12, 1, 8, 5, 4, 3, 8, 2, 1, 3]",1.939508507,1.086956522,3,Rock
0.689398011,9,6.968656247,24,1,3.56557377,3.524590164,"[16, 4, 3, 5, 5, 3, 8, 5, 3, 5, 7, 2, 5, 1, 5, 7, 5, 8, 7, 5, 8, 5, 10, 7, 5, 5, 4, 8, 5, 3, 7, 5, 8, 7, 5, 3, 2, 5, 8, 7, 7, 2, 7, 4, 5, 7, 1, 3, 7, 4, 4, 7, 4, 7, 5, 7, 2, 7, 3, 6, 8, 7, 8, 8, 5, 1, 8, 3, 4, 2, 7, 3, 2, 4, 3, 4, 4, 10, 3, 4, 3, 2, 3, 3, 2, 5, 5, 5, 7, 8, 7, 8, 4, 5, 7, 7, 4, 10, 8, 5, 2, 7, 3, 14, 8, 7, 5, 3, 1, 3]",3.085460898,2.237704918,5,Rock
0.615916955,8,5.397404853,31,15,3.529411765,3.098039216,"[1, 1, 8, 3, 16, 5, 10, 12, 14, 5, 5, 10, 7, 12, 5, 7, 2, 5, 2, 5, 4, 2, 7, 7, 10, 7, 8, 3, 2, 3, 8, 15, 11, 5, 22, 9, 3, 7, 2, 9, 3, 7, 4, 12, 10, 2, 5, 2]",2.598231449,1.823529412,15,Rock
0.431818182,3.925,1.085180211,20,5,1.636363636,3.272727273,"[8, 5, 12, 2, 2, 5, 2, 4, 5, 1, 3, 15, 2, 3, 2]",2.925619835,1.5,1,Rock
0.292011019,6,2.893573959,36,3,0.909090909,3.272727273,"[2, 4, 3, 24, 2, 4, 5, 2, 3, 3, 1, 2, 1, 4, 3, 5, 5, 7, 3, 2, 2, 3, 2]",2.561983471,1.363636364,5,Rock
0.834720571,10.93061497,10.30695473,9,3,2.655172414,3.379310345,"[3, 5, 4, 2, 3, 5, 2, 2, 4, 4, 9, 7, 7, 5, 4, 5, 3, 3, 9, 5, 5, 4, 3, 5, 3, 5, 3, 1, 5, 4, 5, 4]",3.200951249,2.310344828,2,Rock
0.317776457,9,6.940120263,41,2,3.034482759,3.517241379,"[8, 4, 14, 4, 7, 2, 19, 10, 15, 12, 5, 1, 5, 4, 15, 3, 5, 6, 5, 5, 10, 2, 8, 5, 1, 17, 7, 12, 7, 8, 6, 7, 9, 8, 2, 14, 15, 1, 3, 12, 12, 14, 3, 1]",2.801426873,1.534482759,12,Rock
0.16,2.7,0.56122449,10,3,1,2.4,"[5, 10, 3, 5]",0.24,1.2,3,Rock
0.222222222,2.65,0.526342975,19,5,1,2.888888889,"[12, 7, 9, 5, 2]",1.432098765,1.333333333,5,Rock
0.24852071,6.75,3.713137996,12,1,1.153846154,2.615384615,"[1, 3, 3, 2, 4, 5, 4, 5, 4, 1, 3, 5, 2]",1.159763314,1.461538462,1,Rock
0.387755102,2.990909091,0.599052962,13,7,1.785714286,2.714285714,"[7, 1, 6, 6, 7, 6, 4, 8, 1, 1]",0.346938776,1.428571429,7,Rock
0,0,0,7,7,0,1,[7],0,1,7,Rock
0,7,3.95567867,24,3,0,2,"[3, 4, 3, 19, 2, 1, 2, 10, 5, 9]",0.545454545,1,3,Rock
0.168367347,3.76,0.864000617,17,3,1,2.142857143,"[4, 13, 7, 12, 2, 5, 9, 13, 3, 3, 6, 2]",1.551020408,1.214285714,3,Rock
