melodic_variance,repeteadness_mean,repeteadness_variance,pitch_in_piece,weighted_abruptness,pitch_in_rules,branchiness_mean,branchiness_variance,melodic_mean,unweighted_abruptness,label
0.244897959,7.231625835,14.24033611,21,0.351190476,1.071428571,3.142857143,2.336734694,1.428571429,0.326785714,Classical
0.352983789,3.803033146,5.885207602,29,0.339106195,4.455752212,4.610619469,7.618294307,2.119469027,0.130007773,Classical
0.223905325,4.667304015,8.095814338,31,0.396875,2.815384615,3.507692308,1.819171598,1.661538462,0.248080929,Classical
0.472222222,1.604938272,0.516079866,16,1.764379085,0.944444444,3.222222222,1.950617284,1.5,0.867647059,Classical
0.402366864,4.039215686,4.44094579,10,1.176282051,2.153846154,3.076923077,1.147928994,1.538461538,1.156303419,Classical
0,1,0,10,1.003333333,0,2.6,2.44,1,0.894444444,Classical
0.704937537,3.405555556,4.215543685,29,0.456044866,2.87804878,3.365853659,2.768590125,2.048780488,0.325516034,Classical
0.60972126,3.379152249,5.252502222,20,0.380576856,4.059210526,3.960526316,3.380020776,2.203947368,0.227371979,Classical
0.384779544,4.580997559,9.106242379,46,0.325158309,4.349557522,4.03539823,4.069543425,1.986725664,0.172469027,Classical
0.24691358,5.43902439,10.85603807,19,0.255718954,1.944444444,2.666666667,0.333333333,1.444444444,0.255718954,Classical
0.434448289,5.564392781,11.05614243,24,1.003228758,2.960784314,3.764705882,4.258362168,1.725490196,0.540300654,Classical
0.446806249,3.51092138,5.221240856,36,0.189463036,4.180412371,3.907216495,3.506855139,2.082474227,0.140422488,Classical
0.474427798,4.094154915,7.836575764,44,0.214804784,4.431279621,3.962085308,3.448799443,2.09478673,0.153277887,Classical
0.235827664,10.51234614,58.59395798,37,0.231020103,7.547619048,3.797619048,2.947137188,1.880952381,0.246335136,Classical
0.177514793,1.2,0.16,14,1.204326923,0.615384615,3.384615385,2.082840237,1.230769231,0.913728632,Classical
0.878544611,3.955038361,6.123953377,26,0.336011357,4.839779006,4.187845304,5.600073258,2.464088398,0.212702346,Classical
0.560380726,4.292598967,5.92192621,17,0.49862484,4.634146341,3.609756098,2.872099941,2.024390244,0.464781772,Classical
0.395061728,3.040540541,4.255113221,17,0.678157645,1.962962963,3.259259259,2.26611797,1.555555556,0.426518112,Classical
0.392538265,3.921904762,5.643805896,21,0.510373377,3.160714286,3.714285714,3.096938776,1.767857143,0.352938853,Classical
0.138888889,1.425925926,0.488340192,13,1.261363636,0.583333333,3,2,1.166666667,0.61780303,Classical
0.312174818,2.563636364,2.245950413,28,0.72,1.548387097,3.806451613,3.44640999,1.451612903,0.418199522,Classical
0.207335126,5.042292746,12.11360163,49,0.278057057,4.98630137,4.210045662,5.307478993,1.840182648,0.16913737,Classical
0,1.571428571,0.530612245,14,0.974166667,0,2,1,1,0.974166667,Classical
0.239514256,4.260866873,10.58211566,46,0.089787441,11.98724083,4.854864434,11.40955768,2.087719298,0.056687061,Classical
