source	target	probability
-38|	-16|-38	1.0
-38|	-9|-38	1.0
-38|	7|-38	1.0
-38|	-28|-38	1.0
-38|	-34|-38	0.75
-38|	-18|-38	0.3333333333333333
-38|	-5|-38	0.6666666666666666
-38|	-30|-38	1.0
-38|	1|-38	0.5
-38|	129|-38	1.0
-38|	6|-38	1.0
-38|	-33|-38	0.5
-38|	20|-38	1.0
-38|	-37|-38	1.0
-23|	-44|	0.00017587055926837847
-23|	-5|-23	0.02040816326530612
-23|	4|-23	0.025362318840579712
-23|	-18|-23	0.3333333333333333
-23|	3|-23	0.034482758620689655
-23|	-1|-23	0.1
-23|	-13|-23	0.023809523809523808
-23|	-4|-23	0.9504132231404959
-23|	-20|-23	0.05
-23|	-12|-23	0.03597122302158273
-23|	7|-23	0.02127659574468085
-23|	-25|-23	0.2391304347826087
-23|	-24|-23	0.028169014084507043
-23|	-17|-23	0.06521739130434782
-23|	-27|-23	0.00423728813559322
-23|	-19|-23	0.6539792387543253
-23|	-14|-23	0.0071174377224199285
-23|	-26|-23	0.34615384615384615
-23|	-6|-23	0.35
-23|	-29|-23	0.041666666666666664
-23|	-31|-23	0.02631578947368421
-23|	-16|-23	0.08
-23|	-8|-23	0.21428571428571427
-23|	0|-23	0.09278350515463918
-23|	-21|-23	0.8122605363984674
-23|	6|-23	0.1
-23|	8|-23	0.14285714285714285
-23|	128|-23	0.7208413001912046
-23|	-22|-23	0.17391304347826086
-23|	9|-23	0.12
-23|	-10|-23	0.04
-23|	-3|-23	0.07142857142857142
-23|	2|-23	0.06666666666666667
-23|	1|-23	0.1875
-23|	-2|-23	0.13157894736842105
-23|	14|-23	0.08333333333333333
-23|	5|-23	0.05
-23|	-30|-23	0.2222222222222222
-23|	-15|-23	0.07692307692307693
-23|	12|-23	0.13636363636363635
-23|	-34|-23	0.038461538461538464
-23|	-7|-23	0.09090909090909091
-23|	-11|-23	0.16666666666666666
-23|	10|-23	0.14285714285714285
-23|	-32|-23	0.7222222222222222
-23|	-28|-23	0.5153846153846153
-23|	15|-23	0.125
-23|	13|-23	0.25
-23|	19|-23	0.16666666666666666
-23|	16|-23	0.5
-23|	11|-23	0.1
-23|	22|-23	1.0
-23|	-36|-23	0.3018867924528302
-23|	18|-23	0.5
-23|	17|-23	0.25
-23|	24|-23	0.6666666666666666
-23|	-9|-23	0.2909090909090909
-23|	-33|-23	0.2
-23|	129|-23	0.2
-23|	20|-23	0.3333333333333333
-23|	21|-23	1.0
-23|	27|-23	1.0
-23|	-37|-23	0.16666666666666666
-23|	-35|-23	1.0
-23|	-38|-23	1.0
-23|	-39|-23	0.5
-29|	-5|-29	0.027777777777777776
-29|	-19|-29	0.06666666666666667
-29|	-27|-29	0.2753623188405797
-29|	4|-29	0.0196078431372549
-29|	-18|-29	0.0759493670886076
-29|	-4|-29	0.1111111111111111
-29|	0|-29	0.08
-29|	-20|-29	0.060240963855421686
-29|	-30|-29	0.25806451612903225
-29|	128|-29	0.41228070175438597
-29|	-25|-29	0.2823529411764706
-29|	-3|-29	0.019230769230769232
-29|	-9|-29	0.05263157894736842
-29|	2|-29	0.02702702702702703
-29|	-15|-29	0.125
-29|	-14|-29	0.345679012345679
-29|	-26|-29	0.0967741935483871
-29|	-6|-29	0.07407407407407407
-29|	-16|-29	0.6028368794326241
-29|	5|-29	0.05
-29|	-23|-29	0.07017543859649122
-29|	6|-29	0.5
-29|	12|-29	0.0625
-29|	17|-29	0.125
-29|	-12|-29	0.058823529411764705
-29|	-13|-29	0.7024793388429752
-29|	7|-29	0.021505376344086023
-29|	14|-29	0.08695652173913043
-29|	-17|-29	0.007575757575757576
-29|	-34|-29	0.2916666666666667
-29|	-1|-29	0.045454545454545456
-29|	-21|-29	0.0625
-29|	-11|-29	0.05
-29|	-32|-29	0.0425531914893617
-29|	-10|-29	0.029411764705882353
-29|	-31|-29	0.4942528735632184
-29|	-8|-29	0.012345679012345678
-29|	-7|-29	0.13333333333333333
-29|	-2|-29	0.06666666666666667
-29|	1|-29	0.47368421052631576
-29|	-22|-29	0.48314606741573035
-29|	3|-29	0.21739130434782608
-29|	-24|-29	0.02127659574468085
-29|	8|-29	0.2
-29|	9|-29	0.05555555555555555
-29|	10|-29	0.1111111111111111
-29|	13|-29	0.25
-29|	11|-29	0.0625
-29|	15|-29	0.09090909090909091
-29|	22|-29	1.0
-29|	18|-29	0.25
-29|	19|-29	0.2
-29|	24|-29	0.5
-29|	16|-29	0.2857142857142857
-29|	129|-29	0.2222222222222222
-29|	-28|-29	0.5
-29|	-33|-29	0.3333333333333333
-29|	20|-29	1.0
-29|	21|-29	1.0
-29|	23|-29	1.0
-29|	31|-29	1.0
-29|	-37|-29	0.5
-29|	-36|-29	0.46153846153846156
-29|	-35|-29	1.0
-29|	-41|-29	0.2
-29|	-42|-29	1.0
-7|	-5|-7	0.07086614173228346
-7|	4|-7	0.1206896551724138
-7|	7|-7	0.010101010101010102
-7|	3|-7	0.06060606060606061
-7|	-24|-7	0.027777777777777776
-7|	6|-7	0.02564102564102564
-7|	-9|-7	0.01834862385321101
-7|	-12|-7	0.028169014084507043
-7|	0|-7	0.030303030303030304
-7|	-10|-7	0.09090909090909091
-7|	-3|-7	0.08771929824561403
-7|	2|-7	0.13043478260869565
-7|	-17|-7	0.013888888888888888
-7|	-14|-7	0.15
-7|	-1|-7	0.09836065573770492
-7|	-6|-7	0.06451612903225806
-7|	-25|-7	0.5
-7|	-18|-7	0.037037037037037035
-7|	-26|-7	0.1111111111111111
-7|	-11|-7	0.16666666666666666
-7|	-13|-7	0.05
-7|	-15|-7	0.10526315789473684
-7|	-23|-7	0.21875
-7|	10|-7	0.09090909090909091
-7|	-27|-7	0.21428571428571427
-7|	9|-7	0.02857142857142857
-7|	-2|-7	0.047619047619047616
-7|	1|-7	0.16666666666666666
-7|	-8|-7	0.014705882352941176
