Path	Target	Source	Support	Confidence	Probability
-12_0.3	-12_0.3	-12_0.3	10	0.16666666666666666	1.0
128_0.4	128_0.4	128_0.4	786	0.39837810440952864	0.46536412078152756
128_0.4	9_0.2	128_0.4	12	0.006082108464267613	0.007104795737122558
128_0.4	128_0.3	128_0.4	20	0.01013684744044602	0.011841326228537596
128_0.4	128_0.1	128_0.4	628	0.31829700963000507	0.37181764357608055
128_0.4	128_0.5	128_0.4	29	0.01469842878864673	0.017169923031379514
128_0.4	128_0.2	128_0.4	32	0.016218955904713634	0.018946121965660152
128_0.4	128_0.8	128_0.4	12	0.006082108464267613	0.007104795737122558
128_0.4	9_0.1	128_0.4	11	0.005575266092245312	0.006512729425695678
128_0.4	14_0.1	128_0.4	11	0.005575266092245312	0.006512729425695678
128_0.4	128_0.9	128_0.4	52	0.026355803345159655	0.03078744819419775
128_0.4	128_0.6	128_0.4	31	0.015712113532691332	0.018354055654233273
128_0.4	5_0.1	128_0.4	13	0.006588950836289914	0.0076968620485494375
128_0.4	128_1.4	128_0.4	29	0.01469842878864673	0.017169923031379514
128_0.4	7_0.1	128_0.4	11	0.005575266092245312	0.006512729425695678
128_0.4	-12_0.4	128_0.4	12	0.006082108464267613	0.007104795737122558
-10_0.1	-11_0.1	-10_0.1	12	0.019933554817275746	0.02564102564102564
-10_0.1	-10_0.1	-10_0.1	208	0.34551495016611294	0.4444444444444444
-10_0.1	128_0.1	-10_0.1	28	0.046511627906976744	0.05982905982905983
-10_0.1	-12_0.1	-10_0.1	31	0.05149501661129568	0.06623931623931624
-10_0.1	-7_0.1	-10_0.1	30	0.04983388704318937	0.0641025641025641
-10_0.1	-9_0.1	-10_0.1	21	0.03488372093023256	0.04487179487179487
-10_0.1	128_0.4	-10_0.1	11	0.018272425249169437	0.023504273504273504
-10_0.1	-17_0.1	-10_0.1	12	0.019933554817275746	0.02564102564102564
-10_0.1	-13_0.1	-10_0.1	12	0.019933554817275746	0.02564102564102564
-10_0.1	-5_0.1	-10_0.1	25	0.04152823920265781	0.053418803418803416
-10_0.1	-8_0.1	-10_0.1	27	0.044850498338870434	0.057692307692307696
-10_0.1	-1_0.1	-10_0.1	29	0.04817275747508306	0.06196581196581197
-10_0.1	0_0.1	-10_0.1	22	0.036544850498338874	0.04700854700854701
-10_0.1>-8_0.1	-5_0.1	-8_0.1	13	0.41935483870967744	1.0
-8_0.1	-5_0.1	-8_0.1	59	0.08819133034379671	0.10865561694290976
-8_0.1	-8_0.1	-8_0.1	223	0.3333333333333333	0.4106813996316759
-8_0.1	-8_0.2	-8_0.1	19	0.028400597907324365	0.034990791896869246
-8_0.1	0_0.1	-8_0.1	96	0.14349775784753363	0.17679558011049723
-8_0.1	-7_0.1	-8_0.1	27	0.04035874439461883	0.049723756906077346
-8_0.1	-10_0.1	-8_0.1	25	0.03736920777279522	0.04604051565377532
-8_0.1	-9_0.1	-8_0.1	20	0.029895366218236172	0.03683241252302026
-8_0.1	128_0.1	-8_0.1	20	0.029895366218236172	0.03683241252302026
-8_0.1	-12_0.1	-8_0.1	32	0.04783258594917788	0.058931860036832415
-8_0.1	-14_0.1	-8_0.1	12	0.017937219730941704	0.022099447513812154
-8_0.1	128_0.2	-8_0.1	10	0.014947683109118086	0.01841620626151013
-7_0.4	-10_0.4	-7_0.4	11	0.08461538461538462	0.24444444444444444
-7_0.4	-5_0.4	-7_0.4	16	0.12307692307692308	0.35555555555555557
-7_0.4	-7_0.4	-7_0.4	18	0.13846153846153847	0.4
-17_0.1	128_0.2	-17_0.1	19	0.03571428571428571	0.04387990762124711
-17_0.1	-17_0.1	-17_0.1	215	0.4041353383458647	0.49653579676674364
-17_0.1	128_0.1	-17_0.1	25	0.046992481203007516	0.057736720554272515
-17_0.1	-19_0.1	-17_0.1	14	0.02631578947368421	0.03233256351039261
-17_0.1	-17_0.5	-17_0.1	12	0.022556390977443608	0.02771362586605081
-17_0.1	-24_0.1	-17_0.1	40	0.07518796992481203	0.09237875288683603
-17_0.1	-12_0.1	-17_0.1	29	0.05451127819548872	0.06697459584295612
-17_0.1	-13_0.1	-17_0.1	15	0.02819548872180451	0.03464203233256351
-17_0.1	-17_0.2	-17_0.1	16	0.03007518796992481	0.03695150115473441
-17_0.1	-15_0.1	-17_0.1	11	0.020676691729323307	0.025404157043879907
-17_0.1	-16_0.1	-17_0.1	11	0.020676691729323307	0.025404157043879907
-17_0.1	-7_0.1	-17_0.1	10	0.018796992481203006	0.023094688221709007
-17_0.1	-12_0.4	-17_0.1	16	0.03007518796992481	0.03695150115473441
128_0.2	128_0.4	128_0.2	48	0.009669621273166801	0.010726256983240224
128_0.2	128_0.5	128_0.2	41	0.008259468170829976	0.009162011173184357
128_0.2	-8_0.2	128_0.2	20	0.0040290088638195	0.004469273743016759
128_0.2	-5_0.2	128_0.2	35	0.007050765511684126	0.00782122905027933
128_0.2	128_0.2	128_0.2	2127	0.42848509266720386	0.4753072625698324
128_0.2	0_0.2	128_0.2	33	0.006647864625302175	0.007374301675977654
128_0.2	-3_0.2	128_0.2	24	0.004834810636583401	0.005363128491620112
128_0.2	128_0.1	128_0.2	880	0.177276390008058	0.19664804469273742
128_0.2	128_0.3	128_0.2	55	0.011079774375503625	0.012290502793296089
128_0.2	6_0.1	128_0.2	17	0.003424657534246575	0.003798882681564246
128_0.2	9_0.2	128_0.2	16	0.0032232070910556	0.003575418994413408
128_0.2	5_0.2	128_0.2	27	0.005439161966156326	0.006033519553072626
128_0.2	-13_0.2	128_0.2	19	0.0038275584206285255	0.004245810055865922
128_0.2	-9_0.2	128_0.2	12	0.0024174053182917004	0.002681564245810056
128_0.2	128_1.0	128_0.2	33	0.006647864625302175	0.007374301675977654
128_0.2	128_1.2	128_0.2	38	0.007655116841257051	0.008491620111731844
128_0.2	7_0.1	128_0.2	33	0.006647864625302175	0.007374301675977654
128_0.2	12_0.1	128_0.2	44	0.008863819500402902	0.009832402234636871
128_0.2	128_0.8	128_0.2	34	0.00684931506849315	0.007597765363128492
128_0.2	11_0.1	128_0.2	22	0.004431909750201451	0.004916201117318436
128_0.2	2_0.1	128_0.2	25	0.005036261079774376	0.00558659217877095
128_0.2	0_0.1	128_0.2	23	0.004633360193392426	0.005139664804469274
128_0.2	4_0.1	128_0.2	11	0.0022159548751007254	0.002458100558659218
128_0.2	12_0.2	128_0.2	32	0.0064464141821112	0.007150837988826816
128_0.2	16_0.2	128_0.2	19	0.0038275584206285255	0.004245810055865922
128_0.2	16_0.1	128_0.2	23	0.004633360193392426	0.005139664804469274
128_0.2	19_0.2	128_0.2	22	0.004431909750201451	0.004916201117318436
128_0.2	7_0.2	128_0.2	35	0.007050765511684126	0.00782122905027933
128_0.2	128_0.7	128_0.2	55	0.011079774375503625	0.012290502793296089
128_0.2	11_0.2	128_0.2	25	0.005036261079774376	0.00558659217877095
128_0.2	15_0.2	128_0.2	12	0.0024174053182917004	0.002681564245810056
128_0.2	2_0.2	128_0.2	26	0.005237711522965351	0.005810055865921788
128_0.2	8_0.2	128_0.2	19	0.0038275584206285255	0.004245810055865922
128_0.2	-4_0.2	128_0.2	11	0.0022159548751007254	0.002458100558659218
128_0.2	-1_0.2	128_0.2	18	0.0036261079774375505	0.004022346368715084
128_0.2	4_0.2	128_0.2	30	0.0060435132957292505	0.0067039106145251395
128_0.2	9_0.1	128_0.2	21	0.004230459307010476	0.0046927374301675975
128_0.2	17_0.1	128_0.2	19	0.0038275584206285255	0.004245810055865922
128_0.2	-12_0.2	128_0.2	23	0.004633360193392426	0.005139664804469274
128_0.2	-8_0.1	128_0.2	16	0.0032232070910556	0.003575418994413408
128_0.2	6_0.2	128_0.2	18	0.0036261079774375505	0.004022346368715084
128_0.2	15_0.1	128_0.2	10	0.00201450443190975	0.0022346368715083797
128_0.2	14_0.2	128_0.2	26	0.005237711522965351	0.005810055865921788
128_0.2	128_0.6	128_0.2	15	0.0030217566478646252	0.0033519553072625698
128_0.2	14_0.1	128_0.2	36	0.007252215954875101	0.008044692737430168
128_0.2	19_0.1	128_0.2	12	0.0024174053182917004	0.002681564245810056
128_0.2	-10_0.1	128_0.2	13	0.0026188557614826753	0.002905027932960894
128_0.2	-17_0.1	128_0.2	20	0.0040290088638195	0.004469273743016759
128_0.2	-12_0.1	128_0.2	42	0.008460918614020952	0.009385474860335195
128_0.2	-7_0.1	128_0.2	15	0.0030217566478646252	0.0033519553072625698
128_0.2	11_0.5	128_0.2	11	0.0022159548751007254	0.002458100558659218
128_0.2	5_0.1	128_0.2	15	0.0030217566478646252	0.0033519553072625698
128_0.2	17_0.2	128_0.2	14	0.0028203062046736503	0.0031284916201117317
128_0.2	-6_0.2	128_0.2	14	0.0028203062046736503	0.0031284916201117317
128_0.2	4_0.5	128_0.2	14	0.0028203062046736503	0.0031284916201117317
128_0.2	-17_0.2	128_0.2	21	0.004230459307010476	0.0046927374301675975
128_0.2	-10_0.2	128_0.2	25	0.005036261079774376	0.00558659217877095
128_0.2	10_0.2	128_0.2	24	0.004834810636583401	0.005363128491620112
128_0.2	128_1.1	128_0.2	10	0.00201450443190975	0.0022346368715083797
128_0.2	2_0.5	128_0.2	17	0.003424657534246575	0.003798882681564246
128_0.2	7_0.5	128_0.2	14	0.0028203062046736503	0.0031284916201117317
128_0.2	-1_0.1	128_0.2	20	0.0040290088638195	0.004469273743016759
128_0.2	3_0.1	128_0.2	11	0.0022159548751007254	0.002458100558659218
128_0.2	-3_0.1	128_0.2	14	0.0028203062046736503	0.0031284916201117317
128_0.2	-5_0.1	128_0.2	21	0.004230459307010476	0.0046927374301675975
-20_0.1	-20_0.1	-20_0.1	42	0.4	0.65625
-20_0.1	-19_0.1	-20_0.1	11	0.10476190476190476	0.171875
-20_0.1	-22_0.1	-20_0.1	11	0.10476190476190476	0.171875
-18_0.1	-10_0.1	-18_0.1	11	0.22916666666666666	1.0
128_0.5	128_0.5	128_0.5	388	0.3712918660287081	0.5960061443932412
128_0.5	-5_0.3	128_0.5	11	0.010526315789473684	0.016897081413210446
128_0.5	128_1.5	128_0.5	14	0.013397129186602871	0.021505376344086023
128_0.5	128_0.1	128_0.5	131	0.12535885167464114	0.2012288786482335
128_0.5	128_0.2	128_0.5	24	0.022966507177033493	0.03686635944700461
128_0.5	128_1.0	128_0.5	12	0.011483253588516746	0.018433179723502304
128_0.5	7_0.2	128_0.5	10	0.009569377990430622	0.015360983102918587
128_0.5	5_0.2	128_0.5	13	0.012440191387559809	0.019969278033794162
128_0.5	19_0.2	128_0.5	26	0.024880382775119617	0.039938556067588324
128_0.5	0_0.2	128_0.5	12	0.011483253588516746	0.018433179723502304
128_0.5	-12_0.2	128_0.5	10	0.009569377990430622	0.015360983102918587
-5_0.3	-5_0.3	-5_0.3	27	0.1656441717791411	0.42857142857142855
-5_0.3	-5_0.2	-5_0.3	19	0.1165644171779141	0.30158730158730157
-5_0.3	128_0.1	-5_0.3	17	0.10429447852760736	0.2698412698412698
128_0.7	128_0.7	128_0.7	34	0.17708333333333334	0.2857142857142857
128_0.7	128_0.1	128_0.7	43	0.22395833333333334	0.36134453781512604
128_0.7	128_0.2	128_0.7	42	0.21875	0.35294117647058826
-5_0.5	-5_0.5	-5_0.5	35	0.12367491166077739	0.26119402985074625
-5_0.5	128_0.1	-5_0.5	84	0.2968197879858657	0.6268656716417911
-5_0.5	-12_0.5	-5_0.5	15	0.053003533568904596	0.11194029850746269
-17_0.3	-17_0.3	-17_0.3	23	0.2875	1.0
-17_0.3>128_0.2	128_0.2	128_0.2	17	0.5151515151515151	1.0
128_0.2>-12_0.2	-12_0.2	-12_0.2	22	0.3142857142857143	0.6470588235294118
128_0.2>-12_0.2	-17_0.2	-12_0.2	12	0.17142857142857143	0.35294117647058826
-12_0.2	-12_0.2	-12_0.2	623	0.42066171505739364	0.47996918335901384
-12_0.2	-13_0.2	-12_0.2	42	0.02835921674544227	0.032357473035439135
-12_0.2	-8_0.2	-12_0.2	76	0.05131667792032411	0.05855161787365177
-12_0.2	-17_0.2	-12_0.2	77	0.05199189736664416	0.059322033898305086
-12_0.2	-19_0.2	-12_0.2	10	0.00675219446320054	0.007704160246533128
-12_0.2	128_0.1	-12_0.2	59	0.039837947332883185	0.045454545454545456
-12_0.2	-9_0.2	-12_0.2	44	0.029709655638082377	0.03389830508474576
-12_0.2	-7_0.2	-12_0.2	40	0.02700877785280216	0.030816640986132512
-12_0.2	-20_0.2	-12_0.2	22	0.014854827819041188	0.01694915254237288
-12_0.2	-12_0.1	-12_0.2	38	0.025658338960162053	0.029275808936825885
-12_0.2	-10_0.2	-12_0.2	48	0.03241053342336259	0.03697996918335902
-12_0.2	-15_0.2	-12_0.2	17	0.011478730587440918	0.013097072419106317
-12_0.2	-3_0.2	-12_0.2	16	0.010803511141120865	0.012326656394453005
-12_0.2	-14_0.2	-12_0.2	18	0.012153950033760972	0.01386748844375963
-12_0.2	128_0.2	-12_0.2	23	0.015530047265361242	0.017719568567026195
-12_0.2	-12_0.5	-12_0.2	10	0.00675219446320054	0.007704160246533128
-12_0.2	-17_0.5	-12_0.2	10	0.00675219446320054	0.007704160246533128
-12_0.2	-17_0.1	-12_0.2	10	0.00675219446320054	0.007704160246533128
-12_0.2	-4_0.2	-12_0.2	12	0.008102633355840648	0.009244992295839754
-12_0.2	-5_0.2	-12_0.2	47	0.03173531397704254	0.0362095531587057
-12_0.2	-16_0.2	-12_0.2	22	0.014854827819041188	0.01694915254237288
-12_0.2	0_0.2	-12_0.2	18	0.012153950033760972	0.01386748844375963
-12_0.2	-12_0.7	-12_0.2	16	0.010803511141120865	0.012326656394453005
-12_0.2>-8_0.2	-8_0.2	-8_0.2	10	0.14925373134328357	0.35714285714285715
-12_0.2>-8_0.2	-5_0.2	-8_0.2	18	0.26865671641791045	0.6428571428571429
-8_0.2	-8_0.2	-8_0.2	220	0.2875816993464052	0.3486529318541997
-8_0.2	-7_0.2	-8_0.2	50	0.06535947712418301	0.07923930269413629
-8_0.2	-12_0.2	-8_0.2	65	0.08496732026143791	0.10301109350237718
-8_0.2	-10_0.2	-8_0.2	55	0.0718954248366013	0.08716323296354993
-8_0.2	128_0.1	-8_0.2	45	0.058823529411764705	0.07131537242472266
-8_0.2	-5_0.2	-8_0.2	66	0.08627450980392157	0.1045958795562599
-8_0.2	-8_0.1	-8_0.2	23	0.030065359477124184	0.03645007923930269
-8_0.2	-17_0.2	-8_0.2	11	0.01437908496732026	0.017432646592709985
-8_0.2	-1_0.2	-8_0.2	10	0.013071895424836602	0.01584786053882726
-8_0.2	-3_0.2	-8_0.2	18	0.023529411764705882	0.028526148969889066
-8_0.2	0_0.2	-8_0.2	30	0.0392156862745098	0.04754358161648178
-8_0.2	128_0.2	-8_0.2	23	0.030065359477124184	0.03645007923930269
-8_0.2	-6_0.2	-8_0.2	15	0.0196078431372549	0.02377179080824089
-12_0.2>-8_0.2>-12_0.2	-12_0.2	-12_0.2	28	0.6829268292682927	1.0
-8_0.2>-12_0.2	-12_0.2	-12_0.2	28	0.5	1.0
-12_0.2>-7_0.2	-8_0.4	-7_0.2	16	0.45714285714285713	1.0
-7_0.2	-7_0.2	-7_0.2	363	0.39370932754880694	0.46959896507115134
-7_0.2	-5_0.2	-7_0.2	55	0.0596529284164859	0.07115135834411385
-7_0.2	-8_0.2	-7_0.2	68	0.0737527114967462	0.08796895213454076
-7_0.2	-10_0.2	-7_0.2	50	0.05422993492407809	0.0646830530401035
-7_0.2	128_0.1	-7_0.2	28	0.03036876355748373	0.03622250970245795
-7_0.2	-8_0.1	-7_0.2	11	0.01193058568329718	0.014230271668822769
-7_0.2	-7_0.1	-7_0.2	12	0.013015184381778741	0.015523932729624839
-7_0.2	-9_0.2	-7_0.2	34	0.0368763557483731	0.04398447606727038
-7_0.2	-17_0.2	-7_0.2	15	0.016268980477223426	0.019404915912031046
-7_0.2	128_0.2	-7_0.2	16	0.01735357917570499	0.02069857697283312
-7_0.2	-4_0.2	-7_0.2	18	0.019522776572668113	0.02328589909443726
-7_0.2	-12_0.2	-7_0.2	10	0.010845986984815618	0.0129366106080207
-7_0.2	-14_0.2	-7_0.2	10	0.010845986984815618	0.0129366106080207
-7_0.2	-2_0.2	-7_0.2	10	0.010845986984815618	0.0129366106080207
-7_0.2	0_0.2	-7_0.2	20	0.021691973969631236	0.0258732212160414
-7_0.2	-3_0.2	-7_0.2	12	0.013015184381778741	0.015523932729624839
-7_0.2	-8_0.4	-7_0.2	26	0.028199566160520606	0.03363518758085381
-7_0.2	2_0.2	-7_0.2	15	0.016268980477223426	0.019404915912031046
-7_0.2>-12_0.2>-7_0.2	-7_0.2	-7_0.2	11	0.8461538461538461	1.0
-13_0.2	-10_0.2	-13_0.2	46	0.10849056603773585	0.15282392026578073
-13_0.2	-15_0.2	-13_0.2	23	0.054245283018867926	0.07641196013289037
-13_0.2	128_0.1	-13_0.2	23	0.054245283018867926	0.07641196013289037
-13_0.2	-17_0.2	-13_0.2	30	0.07075471698113207	0.09966777408637874
-13_0.2	-13_0.2	-13_0.2	115	0.27122641509433965	0.38205980066445183
-13_0.2	-12_0.2	-13_0.2	42	0.09905660377358491	0.13953488372093023
-13_0.2	-5_0.2	-13_0.2	22	0.05188679245283019	0.07308970099667775
-13_0.2>-5_0.2	-5_0.2	-5_0.2	11	0.7333333333333333	1.0
-5_0.2	-5_0.2	-5_0.2	922	0.4347006129184347	0.4850078905839032
-5_0.2	-6_0.2	-5_0.2	42	0.019801980198019802	0.022093634928984744
-5_0.2	-3_0.2	-5_0.2	83	0.039132484677039135	0.0436612309310889
-5_0.2	-7_0.2	-5_0.2	99	0.04667609618104668	0.05207785376117833
-5_0.2	-12_0.2	-5_0.2	46	0.021687883074021686	0.0241977906365071
-5_0.2	2_0.2	-5_0.2	44	0.020744931636020744	0.023145712782745922
-5_0.2	-5_0.5	-5_0.2	12	0.005657708628005658	0.00631246712256707
-5_0.2	0_0.2	-5_0.2	115	0.05421970768505422	0.060494476591267755
-5_0.2	5_0.2	-5_0.2	11	0.005186232909005186	0.005786428195686481
-5_0.2	128_0.1	-5_0.2	49	0.0231023102310231	0.025775907417148868
-5_0.2	-5_0.1	-5_0.2	31	0.014615747289014616	0.016307206733298264
-5_0.2	-5_1.0	-5_0.2	11	0.005186232909005186	0.005786428195686481
-5_0.2	-10_0.2	-5_0.2	29	0.013672795851013672	0.015255128879537085
-5_0.2	-17_0.2	-5_0.2	21	0.009900990099009901	0.011046817464492372
-5_0.2	-1_0.2	-5_0.2	79	0.037246581801037244	0.041557075223566546
-5_0.2	-4_0.2	-5_0.2	17	0.008015087223008015	0.008942661756970016
-5_0.2	-9_0.2	-5_0.2	38	0.017916077322017915	0.019989479221462388
-5_0.2	128_0.2	-5_0.2	33	0.015558698727015558	0.017359284587059442
-5_0.2	-13_0.2	-5_0.2	15	0.007072135785007072	0.007890583903208837
-5_0.2	-8_0.2	-5_0.2	52	0.024516737388024516	0.027354024197790636
-5_0.2	3_0.2	-5_0.2	11	0.005186232909005186	0.005786428195686481
-5_0.2	4_0.2	-5_0.2	13	0.006129184347006129	0.006838506049447659
-5_0.2	7_0.2	-5_0.2	37	0.017444601603017446	0.0194634402945818
-5_0.2	-5_0.8	-5_0.2	10	0.004714757190004715	0.0052603892688058915
-5_0.2	0_0.4	-5_0.2	14	0.006600660066006601	0.007364544976328248
-5_0.2	-14_0.2	-5_0.2	10	0.004714757190004715	0.0052603892688058915
-5_0.2	-2_0.2	-5_0.2	28	0.013201320132013201	0.014729089952656496
-5_0.2	-5_0.4	-5_0.2	17	0.008015087223008015	0.008942661756970016
-5_0.2	128_0.4	-5_0.2	12	0.005657708628005658	0.00631246712256707
-5_0.2>-10_0.2	-13_0.2	-10_0.2	10	0.3225806451612903	1.0
-10_0.2	-13_0.2	-10_0.2	50	0.05561735261401557	0.06983240223463687
-10_0.2	-12_0.2	-10_0.2	57	0.06340378197997776	0.07960893854748603
-10_0.2	-6_0.2	-10_0.2	14	0.01557285873192436	0.019553072625698324
-10_0.2	-3_0.2	-10_0.2	18	0.020022246941045607	0.025139664804469275
-10_0.2	-10_0.2	-10_0.2	317	0.3526140155728587	0.44273743016759776
-10_0.2	128_0.1	-10_0.2	33	0.03670745272525028	0.046089385474860335
-10_0.2	-7_0.2	-10_0.2	51	0.05672969966629588	0.0712290502793296
-10_0.2	-8_0.2	-10_0.2	38	0.042269187986651836	0.05307262569832402
-10_0.2	-17_0.2	-10_0.2	24	0.026696329254727477	0.0335195530726257
-10_0.2	-5_0.2	-10_0.2	48	0.05339265850945495	0.0670391061452514
-10_0.2	-14_0.2	-10_0.2	10	0.011123470522803115	0.013966480446927373
-10_0.2	-9_0.2	-10_0.2	18	0.020022246941045607	0.025139664804469275
-10_0.2	-1_0.2	-10_0.2	24	0.026696329254727477	0.0335195530726257
-10_0.2	128_0.2	-10_0.2	14	0.01557285873192436	0.019553072625698324
-5_0.2>-10_0.2>-5_0.2	-5_0.2	-5_0.2	13	0.7222222222222222	1.0
-10_0.2>-5_0.2	-5_0.2	-5_0.2	19	0.5588235294117647	1.0
-5_0.2>-12_0.2	-12_0.2	-12_0.2	21	0.4772727272727273	1.0
-12_0.2>-5_0.2	-5_0.2	-5_0.2	16	0.38095238095238093	0.5
-12_0.2>-5_0.2	-2_0.2	-5_0.2	16	0.38095238095238093	0.5
-5_0.2>-8_0.2>-5_0.2	-5_0.2	-5_0.2	15	0.5769230769230769	1.0
-15_0.2	-17_0.2	-15_0.2	26	0.0896551724137931	0.14857142857142858
-15_0.2	-19_0.2	-15_0.2	12	0.041379310344827586	0.06857142857142857
-15_0.2	-12_0.2	-15_0.2	24	0.08275862068965517	0.13714285714285715
-15_0.2	-15_0.2	-15_0.2	63	0.21724137931034482	0.36
-15_0.2	-22_0.2	-15_0.2	17	0.05862068965517241	0.09714285714285714
-15_0.2	128_0.1	-15_0.2	21	0.07241379310344828	0.12
-15_0.2	-7_0.1	-15_0.2	12	0.041379310344827586	0.06857142857142857
-6_0.2	-6_0.2	-6_0.2	93	0.2612359550561798	0.3875
-6_0.2	-5_0.2	-6_0.2	64	0.1797752808988764	0.26666666666666666
-6_0.2	-10_0.2	-6_0.2	13	0.03651685393258427	0.05416666666666667
-6_0.2	128_0.1	-6_0.2	14	0.03932584269662921	0.058333333333333334
-6_0.2	128_0.2	-6_0.2	16	0.0449438202247191	0.06666666666666667
-6_0.2	-3_0.2	-6_0.2	28	0.07865168539325842	0.11666666666666667
-6_0.2	-5_0.4	-6_0.2	12	0.033707865168539325	0.05
-12_0.2>-3_0.2	-7_0.2	-3_0.2	16	0.6956521739130435	1.0
-3_0.2	-3_0.2	-3_0.2	281	0.31015452538631344	0.38283378746594005
-3_0.2	0_0.2	-3_0.2	84	0.09271523178807947	0.11444141689373297
-3_0.2	128_0.1	-3_0.2	25	0.02759381898454746	0.0340599455040872
-3_0.2	-2_0.2	-3_0.2	11	0.012141280353200883	0.014986376021798364
-3_0.2	-5_0.2	-3_0.2	85	0.09381898454746136	0.11580381471389646
-3_0.2	-3_0.1	-3_0.2	10	0.011037527593818985	0.013623978201634877
-3_0.2	-1_0.2	-3_0.2	60	0.06622516556291391	0.08174386920980926
-3_0.2	2_0.2	-3_0.2	21	0.023178807947019868	0.02861035422343324
-3_0.2	-4_0.2	-3_0.2	13	0.01434878587196468	0.017711171662125342
-3_0.2	-6_0.2	-3_0.2	42	0.046357615894039736	0.05722070844686648
